Firm_ID,Year,E_Score,Revenue
MFG0252,2021,52.13,347.81
MFG0190,2019,84.97,434.25
MFG0296,2022,91.51,418.4
MFG0213,2023,72.12,400.9
MFG0208,2023,72.35,424.43
MFG0237,2023,66.32,452.73
MFG0338,2020,54.05,69.23
MFG0367,2019,65.82,257.38
MFG0053,2022,90.25,125.76
MFG0280,2020,83.87,127.12
MFG0410,2021,63.5,247.86
MFG0217,2022,65.64,257.13
MFG0252,2022,95.49,436.07
MFG0188,2022,60.78,180.83
MFG0380,2023,64.13,317.92
MFG0493,2022,67.27,459.74
MFG0041,2019,57.06,284.71
MFG0157,2022,66.09,495.19
MFG0015,2023,66.25,112.47
MFG0301,2022,62.08,215.07
MFG0065,2021,86.61,454.29
MFG0345,2021,59.16,232.28
MFG0327,2023,70.44,276.02
MFG0009,2019,62.35,467.14
MFG0344,2019,69.69,366.44
MFG0129,2020,61.84,135.56
MFG0492,2023,72.83,361.72
MFG0136,2022,75.54,229.32
MFG0472,2023,87.42,250.67
MFG0063,2020,65.53,290.66
MFG0139,2023,89.8,242.15
MFG0499,2023,63.12,348.99
MFG0081,2020,69.38,212.84
MFG0392,2019,91.41,330.37
MFG0163,2022,103.93,375.68
MFG0419,2020,90.55,293.37
MFG0289,2021,69.54,306.92
MFG0379,2019,77.66,309.04
MFG0261,2021,79.51,312.87
MFG0490,2019,75.8,289.68
MFG0231,2022,60.91,284.87
MFG0041,2022,74.58,287.81
MFG0028,2023,66.44,318.61
MFG0135,2021,61.35,256.76
MFG0201,2019,68.57,285.35
MFG0328,2022,75.47,399.17
MFG0268,2020,83.02,500.67
MFG0418,2022,69.21,546.11
MFG0033,2020,71.14,313.38
MFG0048,2019,80.84,196.89
MFG0407,2022,72.78,275.65
MFG0062,2022,76.2,314.58
MFG0216,2019,72.86,408.22
MFG0293,2022,74.23,228.25
MFG0099,2020,60.13,287.6
MFG0172,2022,73.35,198.91
MFG0360,2021,87.71,466.63
MFG0214,2023,73.86,354.27
MFG0475,2020,62.83,264.52
MFG0035,2021,88.24,306.41
MFG0449,2019,79.94,165.01
MFG0227,2020,80.44,345.47
MFG0101,2023,80.15,338.52
MFG0431,2023,59.61,122.87
MFG0462,2019,79.13,227.06
MFG0131,2019,87.23,270.11
MFG0257,2020,66.72,271.09
MFG0005,2022,50.79,249.34
MFG0218,2019,76.02,312.74
MFG0255,2022,72.36,439.43
MFG0398,2021,54.98,347.89
MFG0359,2023,78.66,417.82
MFG0283,2022,77.83,336.44
MFG0393,2023,55.87,268.09
MFG0207,2022,92.78,282.28
MFG0015,2021,80.26,380.28
MFG0346,2019,51.21,354.06
MFG0042,2021,81.01,433.32
MFG0380,2019,80.69,300.7
MFG0461,2019,87.57,160.46
MFG0179,2023,65.14,280.52
MFG0063,2021,81.17,150.75
MFG0352,2022,69.4,286.55
MFG0231,2021,65.88,182.63
MFG0241,2023,62.48,290.69
MFG0052,2019,51.07,314.74
MFG0096,2023,77.94,287.9
MFG0388,2020,69.0,272.45
MFG0222,2020,41.97,261.61
MFG0485,2022,72.83,413.36
MFG0407,2023,84.74,328.2
MFG0231,2022,57.62,147.95
MFG0237,2022,64.16,313.29
MFG0143,2020,76.85,451.77
MFG0171,2022,43.85,253.85
MFG0029,2020,66.13,261.53
MFG0036,2019,75.81,363.18
MFG0013,2023,65.83,214.48
MFG0160,2022,57.72,181.92
MFG0327,2020,58.25,143.5
MFG0187,2021,54.27,367.98
MFG0243,2022,65.04,386.95
MFG0086,2019,83.62,241.47
MFG0284,2019,97.98,184.54
MFG0066,2021,72.4,387.0
MFG0170,2020,80.45,287.43
MFG0045,2022,61.65,99.31
MFG0062,2020,48.99,337.18
MFG0441,2019,92.37,329.14
MFG0134,2020,65.45,438.85
MFG0284,2019,79.91,383.94
MFG0028,2020,73.74,389.58
MFG0108,2021,82.94,212.25
MFG0044,2023,82.5,164.71
MFG0340,2021,75.05,351.26
MFG0286,2021,76.27,301.85
MFG0446,2023,85.34,364.64
MFG0331,2023,67.49,312.57
MFG0128,2022,89.11,444.46
MFG0348,2022,64.21,256.88
MFG0473,2021,72.84,304.19
MFG0231,2021,78.92,236.68
MFG0190,2019,54.08,212.5
MFG0225,2019,87.2,432.5
MFG0385,2022,77.23,288.67
MFG0377,2022,108.31,546.53
MFG0283,2019,94.89,165.65
MFG0446,2019,71.88,309.72
MFG0121,2020,91.64,316.07
MFG0116,2020,81.32,424.69
MFG0461,2019,74.54,211.82
MFG0233,2020,53.75,240.4
MFG0259,2023,56.34,158.54
MFG0359,2022,72.05,446.5
MFG0198,2022,66.55,127.83
MFG0456,2019,74.48,312.11
MFG0411,2021,87.1,549.76
MFG0137,2019,81.51,413.77
MFG0318,2020,64.34,423.15
MFG0165,2021,82.17,471.37
MFG0225,2020,61.95,317.32
MFG0307,2023,59.44,316.68
MFG0234,2020,76.2,299.71
MFG0172,2023,63.04,292.29
MFG0152,2023,64.94,238.75
MFG0463,2020,82.93,438.27
MFG0315,2020,79.23,247.33
MFG0374,2023,67.91,271.76
MFG0160,2021,54.12,167.56
MFG0096,2023,63.91,383.02
MFG0472,2022,93.36,459.26
MFG0233,2023,82.63,76.9
MFG0180,2021,87.66,454.76
MFG0113,2022,74.82,373.82
MFG0318,2019,68.14,427.04
MFG0497,2019,81.96,337.34
MFG0442,2021,86.1,360.05
MFG0052,2023,66.72,333.22
MFG0268,2020,64.15,200.07
MFG0295,2021,55.27,287.89
MFG0386,2022,63.88,251.03
MFG0387,2022,79.36,408.59
MFG0113,2019,65.44,273.05
MFG0101,2022,82.25,348.86
MFG0113,2021,93.64,191.2
MFG0440,2022,72.27,484.29
MFG0081,2021,71.82,326.11
MFG0187,2020,78.03,164.63
MFG0113,2019,65.68,401.03
MFG0002,2022,64.88,325.09
MFG0130,2021,65.21,379.12
MFG0220,2023,59.4,614.92
MFG0054,2019,81.9,414.57
MFG0343,2020,66.54,409.4
MFG0485,2021,84.23,264.47
MFG0224,2020,77.82,310.73
MFG0225,2020,71.75,264.35
MFG0385,2022,80.91,168.96
MFG0403,2022,61.62,257.09
MFG0126,2021,63.42,413.52
MFG0130,2023,79.85,338.2
MFG0053,2021,47.85,183.34
MFG0172,2023,72.16,289.21
MFG0218,2020,78.5,221.44
MFG0160,2019,86.42,346.62
MFG0198,2021,88.67,231.59
MFG0416,2021,70.57,244.5
MFG0247,2023,80.47,171.45
MFG0324,2020,63.15,466.46
MFG0439,2020,67.12,294.77
MFG0203,2023,87.04,288.67
MFG0184,2020,71.56,333.37
MFG0123,2022,73.76,340.65
MFG0401,2019,60.64,231.47
MFG0255,2021,76.65,323.65
MFG0294,2019,80.29,309.21
MFG0280,2021,79.95,402.17
MFG0325,2022,58.68,375.18
MFG0372,2020,83.0,299.06
MFG0098,2023,61.02,302.42
MFG0198,2022,71.71,278.77
MFG0470,2019,54.2,310.88
MFG0395,2023,70.03,296.74
MFG0240,2020,60.96,315.88
MFG0144,2022,67.06,153.2
MFG0097,2023,72.66,235.99
MFG0201,2022,81.1,443.67
MFG0124,2022,80.72,234.07
MFG0187,2020,46.29,286.09
MFG0326,2021,79.46,321.11
MFG0464,2023,74.27,282.81
MFG0349,2020,65.84,243.5
MFG0259,2022,62.32,392.07
MFG0148,2020,71.31,196.29
MFG0252,2021,74.54,94.13
MFG0443,2023,76.16,428.87
MFG0420,2021,69.83,171.01
MFG0403,2019,44.23,372.42
MFG0346,2023,66.55,261.23
MFG0451,2021,58.98,450.23
MFG0147,2022,94.61,275.2
MFG0148,2023,72.65,245.86
MFG0352,2023,80.15,388.76
MFG0199,2020,78.99,423.98
MFG0308,2022,75.41,461.96
MFG0489,2019,67.42,48.8
MFG0417,2021,66.02,102.01
MFG0424,2020,49.77,191.09
MFG0128,2021,73.56,188.23
MFG0039,2019,75.3,250.68
MFG0338,2019,71.47,305.08
MFG0360,2023,73.58,319.15
MFG0129,2019,58.73,355.38
MFG0267,2021,68.77,230.24
MFG0476,2022,64.85,291.0
MFG0441,2022,79.32,293.74
MFG0473,2023,72.45,301.69
MFG0434,2021,64.96,249.44
MFG0151,2021,70.24,321.27
MFG0415,2019,60.57,196.27
MFG0478,2021,68.39,472.06
MFG0298,2020,78.41,212.11
MFG0099,2019,57.34,339.54
MFG0263,2020,71.33,267.55
MFG0252,2023,63.75,250.85
MFG0144,2022,57.35,148.79
MFG0346,2023,92.52,245.82
MFG0112,2022,85.79,275.77
MFG0060,2023,65.42,242.12
MFG0369,2021,68.81,367.5
MFG0002,2020,49.76,467.15
MFG0385,2022,54.48,292.92
MFG0304,2019,59.59,351.17
MFG0254,2020,71.63,423.92
MFG0140,2019,70.74,193.03
MFG0453,2020,75.65,477.29
MFG0037,2020,79.46,168.07
MFG0160,2023,75.06,299.88
MFG0009,2022,60.1,367.42
MFG0233,2022,75.56,454.56
MFG0099,2020,78.99,298.97
MFG0147,2021,67.3,310.33
MFG0304,2021,51.69,463.03
MFG0208,2019,85.02,149.64
MFG0131,2019,72.97,199.36
MFG0404,2023,41.5,177.53
MFG0152,2020,94.77,191.52
MFG0054,2019,66.73,207.56
MFG0120,2019,98.83,423.28
MFG0161,2020,76.15,452.02
MFG0408,2023,69.77,338.06
MFG0116,2019,74.02,398.04
MFG0075,2023,64.2,381.75
MFG0113,2022,72.67,300.18
MFG0456,2023,94.12,392.67
MFG0420,2021,62.12,375.72
MFG0422,2021,77.87,364.64
MFG0104,2023,64.08,308.94
MFG0340,2021,70.15,318.74
MFG0254,2022,93.74,283.04
MFG0227,2020,77.79,124.02
MFG0112,2021,80.2,293.61
MFG0473,2021,72.78,305.39
MFG0099,2023,101.65,210.59
MFG0153,2022,61.55,252.07
MFG0349,2020,54.63,370.1
MFG0402,2023,90.55,387.67
MFG0384,2023,67.8,133.96
MFG0366,2022,76.51,230.4
MFG0338,2020,90.88,379.62
MFG0194,2022,76.66,173.51
MFG0310,2020,96.54,286.96
MFG0163,2022,73.5,175.48
MFG0208,2023,64.21,211.06
MFG0445,2023,46.11,335.28
MFG0169,2019,75.31,362.76
MFG0484,2021,47.4,404.77
MFG0161,2022,75.57,579.66
MFG0068,2019,88.05,281.04
MFG0289,2021,71.81,286.14
MFG0398,2022,74.09,428.06
MFG0277,2020,82.07,412.62
MFG0304,2021,79.36,354.46
MFG0404,2023,84.77,261.48
MFG0384,2019,71.79,374.12
MFG0392,2021,47.24,241.1
MFG0135,2021,84.94,234.04
MFG0195,2023,69.37,327.71
MFG0401,2022,62.33,506.89
MFG0128,2020,75.7,271.58
MFG0033,2023,74.05,305.87
MFG0176,2020,63.76,142.39
MFG0460,2022,57.86,209.49
MFG0443,2021,77.15,336.37
MFG0371,2020,62.65,347.89
MFG0470,2019,73.26,494.03
MFG0375,2019,76.11,195.31
MFG0022,2023,82.65,313.76
MFG0238,2022,95.31,254.64
MFG0158,2023,74.61,328.44
MFG0038,2023,67.32,246.47
MFG0230,2023,90.24,126.61
MFG0365,2019,83.53,364.17
MFG0051,2019,73.85,225.79
MFG0438,2023,74.6,276.62
MFG0264,2019,72.3,306.77
MFG0283,2022,73.78,297.43
MFG0027,2023,70.88,3.01
MFG0226,2019,61.28,140.72
MFG0277,2020,72.1,272.27
MFG0286,2023,91.33,530.36
MFG0097,2023,63.02,206.68
MFG0284,2022,69.02,262.6
MFG0367,2021,62.19,434.52
MFG0448,2021,84.73,370.42
MFG0481,2022,81.13,342.35
MFG0453,2022,57.94,312.13
MFG0317,2022,49.8,109.65
MFG0304,2021,81.52,142.0
MFG0147,2022,57.27,208.45
MFG0004,2019,81.11,260.09
MFG0035,2023,64.98,420.67
MFG0192,2023,79.64,303.24
MFG0049,2020,76.89,236.36
MFG0017,2020,66.1,271.93
MFG0172,2023,62.33,437.45
MFG0220,2019,78.33,312.76
MFG0158,2021,64.38,366.75
MFG0477,2021,84.2,251.59
MFG0046,2019,62.84,107.25
MFG0373,2021,75.85,365.4
MFG0006,2022,67.71,332.28
MFG0099,2023,72.06,396.75
MFG0380,2023,64.29,308.41
MFG0233,2019,70.04,541.99
MFG0037,2021,43.82,205.8
MFG0280,2020,63.06,191.26
MFG0349,2020,65.54,281.65
MFG0497,2021,71.21,270.5
MFG0302,2020,86.23,280.49
MFG0181,2019,64.32,290.18
MFG0095,2019,87.55,267.86
MFG0099,2021,62.52,245.49
MFG0188,2020,59.81,200.94
MFG0481,2019,51.27,355.61
MFG0116,2019,78.67,419.18
MFG0191,2022,72.95,629.48
MFG0253,2022,78.02,336.89
MFG0469,2019,73.45,412.89
MFG0416,2021,71.9,321.69
MFG0471,2023,75.13,370.62
MFG0161,2023,95.68,292.79
MFG0256,2019,66.79,271.14
MFG0323,2019,94.6,276.3
MFG0128,2019,81.38,489.66
MFG0018,2021,76.02,478.28
MFG0281,2022,78.1,216.23
MFG0490,2019,36.85,350.01
MFG0223,2019,69.12,273.8
MFG0054,2020,64.63,479.32
MFG0058,2021,95.24,181.31
MFG0323,2019,68.24,413.81
MFG0360,2020,71.67,310.01
MFG0174,2023,71.49,114.48
MFG0280,2019,57.63,492.17
MFG0114,2019,65.84,126.9
MFG0288,2020,80.99,197.98
MFG0431,2021,48.55,175.68
MFG0342,2019,75.42,430.16
MFG0151,2023,62.08,239.03
MFG0450,2019,86.3,183.71
MFG0127,2023,76.34,361.3
MFG0155,2022,55.28,189.14
MFG0490,2022,67.42,346.56
MFG0386,2023,76.99,336.48
MFG0474,2021,68.66,325.3
MFG0273,2019,73.6,105.22
MFG0104,2019,71.79,416.29
MFG0417,2022,81.54,446.58
MFG0393,2023,76.84,394.88
MFG0299,2019,71.47,375.99
MFG0246,2019,72.2,282.81
MFG0176,2021,60.09,472.7
MFG0039,2020,88.14,161.47
MFG0477,2022,104.58,73.16
MFG0170,2022,68.37,424.78
MFG0247,2020,72.52,124.65
MFG0026,2019,83.17,409.9
MFG0355,2021,83.1,158.09
MFG0306,2021,73.96,364.11
MFG0409,2022,61.26,226.02
MFG0408,2021,92.0,339.35
MFG0013,2020,79.49,441.13
MFG0316,2019,74.43,216.24
MFG0391,2020,64.05,465.69
MFG0313,2023,72.64,301.74
MFG0036,2022,52.04,311.66
MFG0173,2021,80.15,418.61
MFG0020,2023,82.83,431.33
MFG0321,2021,74.53,293.43
MFG0264,2019,61.44,146.7
MFG0494,2019,76.97,305.02
MFG0400,2019,80.66,149.55
MFG0142,2021,63.82,291.16
MFG0460,2023,82.27,264.84
MFG0371,2019,77.77,155.77
MFG0471,2023,68.99,211.55
MFG0143,2021,65.87,427.75
MFG0092,2023,70.03,267.63
MFG0354,2021,61.32,254.13
MFG0322,2021,74.86,353.77
MFG0288,2022,78.14,463.92
MFG0215,2021,84.85,241.64
MFG0447,2021,75.27,417.01
MFG0342,2020,76.3,299.83
MFG0051,2019,69.05,493.15
MFG0153,2022,62.38,406.68
MFG0186,2022,67.27,263.52
MFG0063,2022,87.71,327.71
MFG0190,2020,78.97,219.87
MFG0125,2021,76.48,316.28
MFG0150,2019,52.03,217.24
MFG0314,2023,75.44,231.05
MFG0058,2021,57.37,417.06
MFG0342,2020,58.16,322.83
MFG0305,2021,59.39,336.32
MFG0180,2021,63.5,250.31
MFG0170,2020,81.17,269.07
MFG0326,2022,74.49,264.42
MFG0271,2022,61.63,241.08
MFG0054,2019,65.61,237.27
MFG0491,2019,77.48,213.5
MFG0444,2022,79.68,161.86
MFG0101,2023,73.47,292.43
MFG0481,2021,59.38,204.81
MFG0264,2023,67.46,466.05
MFG0053,2021,98.19,166.22
MFG0060,2022,58.68,259.6
MFG0492,2019,76.12,373.41
MFG0108,2019,95.33,85.84
MFG0005,2023,68.99,377.4
MFG0103,2019,92.17,217.54
MFG0196,2022,64.44,191.89
MFG0262,2023,50.28,358.5
MFG0365,2021,65.63,369.9
MFG0480,2019,63.67,189.39
MFG0372,2020,53.63,266.48
MFG0350,2019,67.41,420.82
MFG0047,2021,82.9,255.6
MFG0355,2023,65.46,199.57
MFG0311,2021,67.86,287.55
MFG0424,2020,87.08,290.65
MFG0308,2022,63.77,274.12
MFG0144,2019,78.81,344.89
MFG0269,2023,53.22,235.59
MFG0370,2022,61.37,363.04
MFG0124,2021,69.65,263.05
MFG0106,2023,85.3,156.0
MFG0158,2022,61.96,458.91
MFG0147,2023,61.83,145.84
MFG0145,2020,75.0,382.83
MFG0120,2020,76.76,283.87
MFG0319,2019,60.61,302.07
MFG0275,2019,66.26,212.8
MFG0092,2020,83.95,251.42
MFG0058,2023,59.02,379.61
MFG0439,2020,75.76,189.12
MFG0346,2019,66.31,249.71
MFG0229,2020,87.43,405.65
MFG0474,2020,78.38,241.39
MFG0117,2023,81.69,302.87
MFG0318,2022,66.09,311.04
MFG0279,2019,81.07,212.97
MFG0127,2023,80.78,342.36
MFG0393,2020,77.71,292.67
MFG0396,2020,68.89,219.88
MFG0129,2022,73.79,363.27
MFG0058,2019,51.62,314.52
MFG0122,2019,91.35,293.04
MFG0001,2021,65.36,268.95
MFG0239,2019,68.32,153.4
MFG0290,2022,57.5,284.67
MFG0096,2021,79.4,77.84
MFG0126,2021,77.82,373.81
MFG0118,2020,68.75,184.51
MFG0048,2020,46.32,353.94
MFG0089,2019,64.17,159.77
MFG0488,2021,77.06,170.4
MFG0237,2020,74.77,225.83
MFG0373,2022,71.49,486.39
MFG0385,2020,67.34,256.38
MFG0272,2020,54.64,467.56
MFG0189,2021,82.6,346.35
MFG0487,2021,56.16,274.08
MFG0192,2023,69.75,317.3
MFG0447,2022,60.62,333.42
MFG0069,2021,82.93,344.39
MFG0278,2019,78.4,432.52
MFG0349,2022,68.07,308.66
MFG0247,2022,79.6,361.35
MFG0451,2021,55.59,495.75
MFG0076,2022,71.13,143.11
MFG0154,2021,60.4,288.42
MFG0144,2020,83.28,380.11
MFG0435,2023,76.12,161.39
MFG0485,2020,79.15,202.94
MFG0086,2021,65.91,205.96
MFG0185,2021,80.19,338.31
MFG0285,2020,59.71,352.59
MFG0462,2019,61.29,211.78
MFG0220,2019,70.07,342.84
MFG0069,2019,61.72,235.15
MFG0047,2021,79.81,425.58
MFG0497,2022,66.79,351.13
MFG0094,2021,60.11,373.47
MFG0238,2022,58.69,458.89
MFG0446,2020,79.67,369.22
MFG0453,2023,44.02,243.03
MFG0204,2022,60.88,312.38
MFG0400,2019,87.43,168.87
MFG0218,2021,68.21,189.66
MFG0474,2020,79.88,359.58
MFG0432,2019,76.7,467.37
MFG0341,2020,69.9,407.3
MFG0039,2023,53.75,334.17
MFG0100,2021,57.42,149.65
MFG0289,2021,57.23,313.51
MFG0254,2023,77.3,199.42
MFG0222,2021,79.37,338.95
MFG0357,2022,62.33,167.55
MFG0023,2020,71.13,316.34
MFG0250,2019,72.09,248.27
MFG0010,2023,72.86,308.5
MFG0246,2022,63.62,246.95
MFG0325,2019,90.02,143.48
MFG0100,2019,79.46,402.39
MFG0290,2023,72.8,270.34
MFG0180,2022,66.29,256.72
MFG0223,2019,62.83,286.08
MFG0394,2019,76.38,234.38
MFG0250,2022,66.79,234.17
MFG0147,2021,73.47,443.77
MFG0442,2019,51.11,308.22
MFG0096,2020,66.17,256.26
MFG0257,2022,70.8,133.97
MFG0325,2019,82.65,248.78
MFG0493,2023,61.85,202.91
MFG0004,2020,55.66,257.91
MFG0016,2019,76.89,451.93
MFG0280,2020,71.3,443.24
MFG0336,2020,53.06,273.91
MFG0247,2021,53.61,231.25
MFG0258,2020,64.88,357.79
MFG0497,2021,71.08,411.86
MFG0476,2022,87.28,272.83
MFG0384,2021,60.11,502.08
MFG0160,2023,77.93,245.96
MFG0475,2019,50.43,264.26
MFG0340,2022,75.97,284.25
MFG0152,2022,88.57,266.28
MFG0396,2023,73.56,185.02
MFG0178,2021,64.65,377.29
MFG0163,2019,85.56,271.37
MFG0380,2021,75.84,515.35
MFG0033,2020,73.69,377.27
MFG0417,2021,60.8,332.41
MFG0445,2022,76.0,493.33
MFG0179,2019,64.47,371.83
MFG0427,2021,75.43,368.41
MFG0101,2019,72.53,233.28
MFG0268,2019,83.93,276.12
MFG0323,2020,65.66,399.64
MFG0065,2020,70.36,381.09
MFG0417,2022,80.78,239.81
MFG0168,2023,69.4,533.65
MFG0330,2019,71.76,279.56
MFG0043,2023,67.53,417.16
MFG0044,2022,70.2,326.15
MFG0285,2019,79.38,345.6
MFG0397,2019,92.2,266.04
MFG0012,2023,53.54,320.24
MFG0095,2021,58.08,145.11
MFG0302,2020,70.44,410.41
MFG0386,2021,72.55,375.2
MFG0253,2023,69.61,486.32
MFG0499,2020,65.91,307.67
MFG0242,2021,58.44,200.59
MFG0035,2020,65.28,449.65
MFG0215,2019,80.99,273.61
MFG0337,2021,73.02,-58.11
MFG0090,2020,79.43,350.15
MFG0264,2020,58.76,393.69
MFG0093,2020,87.89,421.98
MFG0410,2021,65.82,209.85
MFG0458,2022,77.23,351.03
MFG0090,2021,70.62,358.0
MFG0418,2023,66.06,361.73
MFG0115,2021,76.76,240.06
MFG0105,2020,78.61,335.53
MFG0391,2019,101.57,411.87
MFG0196,2021,79.03,112.03
MFG0314,2021,78.87,298.62
MFG0114,2020,84.59,400.24
MFG0493,2019,77.85,461.31
MFG0075,2019,71.57,454.94
MFG0413,2023,75.58,394.47
MFG0376,2021,81.4,486.75
MFG0420,2019,87.3,397.59
MFG0217,2019,55.38,67.49
MFG0277,2022,51.21,255.04
MFG0249,2022,86.83,442.68
MFG0164,2019,63.23,249.04
MFG0394,2023,53.76,429.96
MFG0357,2019,52.73,377.39
MFG0457,2020,91.82,488.31
MFG0408,2021,81.65,256.74
MFG0192,2023,63.25,116.41
MFG0227,2020,63.71,278.85
MFG0177,2023,72.6,157.66
MFG0099,2020,81.45,253.85
MFG0496,2021,68.77,20.66
MFG0036,2021,63.35,301.71
MFG0466,2022,84.49,343.37
MFG0497,2020,71.72,349.14
MFG0487,2022,69.89,398.93
MFG0096,2020,78.51,332.21
MFG0152,2022,48.5,235.34
MFG0151,2021,77.22,425.31
MFG0190,2023,76.52,371.29
MFG0224,2022,56.83,293.44
MFG0037,2020,50.64,289.21
MFG0268,2020,65.79,237.84
MFG0369,2021,74.01,429.37
MFG0183,2020,75.13,303.8
MFG0013,2019,90.74,388.36
MFG0279,2023,74.02,100.25
MFG0217,2022,56.61,314.7
MFG0355,2023,69.24,328.59
MFG0361,2021,57.71,183.24
MFG0286,2022,70.03,225.89
MFG0273,2022,87.5,375.28
MFG0369,2019,77.05,360.58
MFG0062,2021,64.07,329.96
MFG0084,2020,78.52,430.24
MFG0368,2019,63.44,357.45
MFG0217,2019,41.6,440.55
MFG0342,2023,58.43,209.48
MFG0397,2023,77.04,324.01
MFG0187,2023,80.5,309.82
MFG0019,2019,90.89,178.77
MFG0177,2020,75.75,477.61
MFG0100,2022,86.82,254.33
MFG0396,2023,78.93,339.12
MFG0445,2020,82.31,251.2
MFG0233,2021,84.12,413.94
MFG0403,2023,77.36,274.47
MFG0076,2022,83.82,273.86
MFG0265,2021,64.32,302.15
MFG0455,2021,45.31,308.45
MFG0284,2022,79.16,245.15
MFG0206,2023,76.12,222.8
MFG0223,2019,62.37,246.08
MFG0384,2022,58.11,284.47
MFG0052,2022,73.44,327.16
MFG0339,2022,79.89,259.37
MFG0367,2021,77.72,186.2
MFG0144,2020,60.78,179.17
MFG0373,2019,63.25,208.65
MFG0069,2023,79.36,333.12
MFG0099,2023,72.8,387.67
MFG0396,2020,83.66,189.62
MFG0025,2022,68.44,342.51
MFG0436,2019,80.13,337.06
MFG0379,2023,71.56,483.53
MFG0469,2023,64.05,532.36
MFG0484,2022,82.21,406.16
MFG0053,2020,61.08,370.41
MFG0151,2019,72.82,353.25
MFG0144,2020,73.95,226.86
MFG0057,2020,70.68,185.58
MFG0039,2019,82.9,144.16
MFG0109,2019,78.3,315.74
MFG0181,2023,76.99,224.83
MFG0042,2023,72.75,379.39
MFG0186,2019,92.42,187.56
MFG0423,2021,88.11,325.34
MFG0398,2023,82.11,223.66
MFG0223,2021,80.31,162.14
MFG0122,2019,65.38,218.66
MFG0133,2023,71.46,235.28
MFG0163,2020,78.99,297.9
MFG0215,2019,83.57,239.55
