Firm_ID,Year,Industry_Type,ESG_Score,E_Score,S_Score,G_Score,ROA,ROE,Net_Profit_Margin,Revenue,Operating_Cost,Firm_Size,Board_Independence,Innovation_Spending
MFG0309,2022,Heavy Machinery,68.85333333333334,75.41,67.75,63.4,7.61,11.58,6.45,292.5,156.74,577.94,62.48,2.08
MFG0258,2020,Automobile,79.26,89.98,82.62,65.18,7.46,9.47,10.13,242.87,242.87,1639.31,57.6,2.89
MFG0344,2020,Electronics,78.69,96.11,67.82,72.14,7.04,17.17,11.8,378.47,211.71,1817.95,61.58,0.99
MFG0492,2020,Textile,67.66666666666667,67.55,66.83,68.62,7.39,17.35,10.84,92.34,92.34,1154.91,71.76,1.23
MFG0414,2021,Automobile,70.48666666666666,82.67,61.88,66.91,11.91,13.02,0.41,369.97,143.61,982.99,50.84,2.89
MFG0294,2019,Automobile,77.3,95.26,60.58,76.06,4.02,10.63,6.88,205.04,158.67,465.32,52.57,1.76
MFG0386,2022,Pharmaceuticals,76.18,82.96,71.53,74.05,4.61,14.75,13.41,44.41,44.41,810.82,84.23,2.26
MFG0192,2019,Pharmaceuticals,66.99333333333333,79.89,63.77,57.32,2.75,18.43,5.97,515.56,115.84,1451.03,70.89,1.44
MFG0444,2019,Pharmaceuticals,63.45666666666667,51.96,66.31,72.1,7.23,8.07,9.64,303.74,65.55,1190.23,87.42,3.18
MFG0277,2019,Textile,69.94999999999999,65.86,69.78,74.21,2.16,22.45,6.71,376.87,322.16,744.85,50.13,4.17
MFG0161,2020,Electronics,67.75666666666666,67.47,68.57,67.23,7.56,13.02,13.92,407.57,167.55,1657.6,50.01,3.44
MFG0460,2023,Electronics,75.42,87.26,69.21,69.79,6.86,13.52,7.62,207.55,202.3,999.26,79.58,4.43
MFG0314,2020,Electronics,65.22666666666667,63.96,69.18,62.54,5.57,20.41,12.06,273.99,237.09,756.2,69.05,2.19
MFG0022,2020,Textile,66.68,71.06,73.62,55.36,8.18,13.78,7.83,296.45,197.18,1213.47,86.55,5.25
MFG0253,2019,Textile,84.36999999999999,81.24,91.77,80.1,7.74,13.58,2.72,229.72,123.8,1353.06,81.46,3.4
MFG0236,2020,Pharmaceuticals,65.60333333333334,63.47,79.06,54.28,11.01,10.35,11.41,418.83,297.65,798.13,70.16,2.26
MFG0345,2019,Automobile,72.75333333333333,75.07,64.74,78.45,8.53,11.69,4.24,433.15,176.31,1109.95,69.14,3.4
MFG0049,2023,Heavy Machinery,72.35333333333334,73.64,78.94,64.48,6.84,11.18,7.26,287.05,265.56,1661.55,82.45,3.88
MFG0475,2022,Heavy Machinery,71.71666666666668,81.65,58.52,74.98,1.3,6.94,15.6,349.89,331.54,793.57,82.15,4.3
MFG0059,2019,Automobile,69.11,79.25,62.9,65.18,9.32,5.68,19.39,385.46,114.95,1305.24,61.08,4.78
MFG0170,2023,Pharmaceuticals,75.25333333333333,78.9,74.36,72.5,9.34,13.07,10.06,328.15,284.41,1104.9,76.99,3.6
MFG0476,2022,Automobile,72.29333333333334,74.21,74.08,68.59,10.31,8.48,7.33,242.38,227.84,1360.94,75.73,3.43
MFG0188,2021,Automobile,62.20333333333334,53.56,73.41,59.64,1.28,16.61,10.08,51.66,51.66,885.7,84.24,3.85
MFG0464,2019,Heavy Machinery,67.43333333333334,73.54,62.69,66.07,7.51,13.12,6.06,309.44,253.9,1270.13,84.74,4.76
MFG0271,2019,Pharmaceuticals,66.40666666666668,72.61,62.75,63.86,8.65,7.62,8.73,379.51,228.31,913.95,60.73,2.77
MFG0190,2021,Textile,73.25,80.43,69.18,70.14,10.0,20.1,14.81,205.61,171.06,599.69,85.19,2.65
MFG0446,2021,Heavy Machinery,66.40333333333332,67.35,65.73,66.13,8.5,12.29,10.63,317.16,317.16,776.84,86.98,3.41
MFG0175,2019,Textile,71.91333333333334,72.46,75.99,67.29,7.15,16.06,5.73,344.56,250.59,1134.62,54.39,4.62
MFG0446,2021,Pharmaceuticals,65.03333333333333,72.81,65.5,56.79,4.45,20.58,11.22,345.11,132.51,1270.16,72.95,2.97
MFG0051,2020,Automobile,61.38999999999999,64.16,65.24,54.77,6.71,13.86,4.87,312.49,246.35,1563.21,67.46,4.24
MFG0364,2022,Electronics,59.416666666666664,59.31,53.37,65.57,7.97,14.06,4.37,200.06,200.06,1307.45,66.08,3.92
MFG0055,2022,Electronics,72.84666666666665,76.21,75.88,66.45,8.96,19.75,12.3,420.6,129.32,1667.6,78.19,3.07
MFG0244,2022,Pharmaceuticals,70.19333333333334,83.09,70.9,56.59,3.03,12.82,7.71,295.51,201.33,1139.67,55.18,2.9
MFG0320,2020,Electronics,60.71,65.13,47.43,69.57,7.74,18.29,14.72,246.29,246.29,1365.54,82.8,3.85
MFG0131,2021,Textile,70.51,69.6,72.01,69.92,3.32,13.7,6.84,135.82,135.82,905.56,51.06,2.33
MFG0485,2023,Electronics,70.58999999999999,81.13,64.39,66.25,7.66,14.68,13.68,340.42,108.18,1294.33,73.13,4.85
MFG0307,2021,Pharmaceuticals,74.10000000000001,82.19,74.98,65.13,4.13,14.63,14.92,545.64,109.97,1087.99,59.01,5.01
MFG0135,2019,Pharmaceuticals,65.48666666666666,74.55,67.05,54.86,3.39,12.52,10.47,276.46,114.05,1055.19,76.7,3.34
MFG0021,2022,Textile,64.01666666666667,76.56,60.76,54.73,11.53,11.86,9.09,251.27,251.27,1221.27,71.02,5.45
MFG0329,2021,Electronics,76.52333333333333,77.85,83.56,68.16,3.54,11.39,8.2,298.74,252.69,774.59,89.99,3.74
MFG0167,2023,Electronics,73.45,79.82,82.15,58.38,5.41,8.82,8.39,292.45,146.3,1299.33,84.49,3.0
MFG0274,2019,Automobile,61.82666666666666,60.21,66.33,58.94,6.95,12.21,5.19,263.24,202.73,1411.38,63.47,3.12
MFG0388,2020,Heavy Machinery,77.22333333333334,93.09,71.35,67.23,1.79,12.94,11.92,507.55,115.01,988.82,71.14,3.3
MFG0089,2020,Pharmaceuticals,73.39333333333333,75.01,63.87,81.3,8.96,15.63,11.82,304.44,168.17,1254.87,62.71,2.97
MFG0316,2023,Automobile,64.83,80.03,52.64,61.82,5.25,13.63,9.31,169.7,166.93,1575.05,79.15,2.67
MFG0014,2019,Pharmaceuticals,74.96333333333332,63.62,79.86,81.41,4.45,18.31,10.09,182.23,182.23,1426.35,66.9,4.59
MFG0242,2022,Automobile,65.05666666666667,69.96,60.82,64.39,9.31,18.13,8.64,413.92,314.24,1160.01,54.62,3.3
MFG0265,2021,Heavy Machinery,75.04,76.15,79.46,69.51,3.66,19.38,6.35,328.41,132.49,1318.85,76.43,1.62
MFG0346,2019,Automobile,66.37,52.15,74.28,72.68,8.12,13.19,6.09,264.84,153.71,1647.79,50.44,5.95
MFG0053,2020,Pharmaceuticals,68.64333333333333,62.09,70.58,73.26,7.06,11.96,8.29,256.52,241.84,1276.08,61.89,4.15
MFG0386,2023,Electronics,66.45333333333332,64.02,67.63,67.71,7.14,8.53,8.82,369.71,104.81,1484.1,86.29,1.63
MFG0340,2023,Pharmaceuticals,65.13333333333334,57.93,74.31,63.16,6.86,19.23,13.47,221.08,146.82,1438.72,53.77,2.05
MFG0092,2021,Textile,68.14,73.17,59.63,71.62,7.32,9.38,12.01,285.04,285.04,1228.48,70.18,1.84
MFG0367,2023,Textile,73.19666666666666,71.19,80.01,68.39,1.31,10.4,14.62,372.87,317.87,1587.05,81.8,3.61
MFG0444,2023,Textile,72.82,87.66,69.29,61.51,4.81,14.9,12.07,225.68,145.52,896.49,86.18,3.95
MFG0455,2019,Textile,72.46666666666665,59.67,81.46,76.27,4.72,12.76,5.25,427.18,153.89,1328.36,72.39,3.75
MFG0428,2022,Heavy Machinery,70.04666666666667,74.58,66.9,68.66,9.77,19.79,5.55,136.24,136.24,1034.14,56.13,3.0
MFG0264,2021,Electronics,63.53666666666666,62.32,69.28,59.01,7.4,10.93,6.82,303.82,296.68,1467.68,87.63,2.9
MFG0431,2019,Electronics,60.52,53.11,70.38,58.07,7.03,14.12,8.94,307.62,195.59,1194.71,79.97,3.67
MFG0035,2022,Pharmaceuticals,77.44,78.47,73.18,80.67,11.64,6.59,7.67,87.61,87.61,1486.46,65.83,2.88
MFG0206,2019,Automobile,74.91333333333334,79.38,84.3,61.06,1.94,18.93,12.08,225.73,225.73,1429.66,61.08,3.54
MFG0081,2019,Pharmaceuticals,71.05,78.07,64.06,71.02,10.54,7.3,13.54,359.66,245.41,1073.89,51.91,4.28
MFG0420,2023,Pharmaceuticals,64.12666666666667,57.52,66.85,68.01,7.03,23.95,6.38,227.92,213.88,1361.21,57.66,2.87
MFG0050,2022,Pharmaceuticals,70.5,72.92,67.83,70.75,5.11,13.53,5.07,273.55,273.55,1337.24,81.11,4.88
MFG0360,2021,Pharmaceuticals,68.67333333333333,78.57,47.16,80.29,5.66,12.85,14.93,259.34,236.62,1138.68,54.35,2.14
MFG0388,2021,Electronics,72.82,82.47,63.01,72.98,5.75,13.87,10.69,397.39,125.77,1460.02,55.18,3.05
MFG0002,2022,Automobile,71.39666666666666,78.91,63.59,71.69,10.75,9.7,8.39,334.26,250.44,1167.07,57.84,3.5
MFG0390,2023,Pharmaceuticals,79.26333333333334,82.62,91.74,63.43,7.6,16.63,14.74,255.0,162.06,966.23,65.81,2.16
MFG0054,2020,Electronics,71.25,83.74,70.33,59.68,8.72,12.37,13.74,228.33,203.36,1285.93,57.56,3.66
MFG0106,2019,Pharmaceuticals,76.64999999999999,73.15,72.44,84.36,5.14,12.75,8.23,386.62,278.22,1336.58,86.17,3.92
MFG0260,2023,Textile,65.64333333333333,77.48,54.78,64.67,7.28,19.14,12.61,314.43,285.86,306.78,60.31,2.23
MFG0310,2022,Pharmaceuticals,71.53,83.0,67.44,64.15,9.27,7.12,13.46,400.74,-18.98,1919.3,86.78,2.8
MFG0477,2019,Pharmaceuticals,73.34,76.29,76.42,67.31,9.82,13.22,12.52,361.77,171.35,2049.17,89.4,2.83
MFG0191,2021,Heavy Machinery,80.79,85.19,90.65,66.53,3.65,13.56,13.8,-26.81,-26.81,949.58,80.19,1.94
MFG0402,2020,Textile,73.73333333333333,81.62,61.84,77.74,9.02,14.55,7.15,407.22,216.55,1384.7,50.3,3.74
MFG0218,2021,Automobile,62.00666666666666,65.04,51.66,69.32,6.64,11.78,10.08,312.49,146.46,879.53,59.6,3.28
MFG0044,2022,Pharmaceuticals,57.723333333333336,57.63,61.02,54.52,7.91,12.72,14.94,324.61,193.92,701.4,60.69,2.58
MFG0162,2019,Automobile,64.33,72.21,61.06,59.72,5.68,21.4,8.83,99.39,99.39,1062.36,71.71,3.21
MFG0202,2022,Textile,61.74666666666667,59.01,61.14,65.09,10.81,16.0,8.06,251.28,82.77,784.15,56.34,3.47
MFG0446,2019,Pharmaceuticals,74.09666666666665,72.91,76.17,73.21,7.65,10.88,10.33,305.83,203.3,1360.24,53.09,1.25
MFG0484,2023,Heavy Machinery,65.28333333333333,71.92,71.09,52.84,5.53,16.61,5.25,171.69,171.69,1463.77,57.05,3.44
MFG0270,2020,Electronics,71.03333333333335,86.31,57.84,68.95,5.78,14.18,10.98,432.72,118.16,1728.17,63.09,2.72
MFG0351,2023,Heavy Machinery,76.38666666666667,77.56,80.75,70.85,9.15,16.97,5.0,374.65,228.8,1214.21,51.97,1.77
MFG0304,2023,Heavy Machinery,79.95333333333333,82.76,85.04,72.06,8.8,13.18,13.8,259.84,224.18,1458.95,57.81,4.18
MFG0271,2022,Electronics,61.20666666666667,66.61,52.65,64.36,7.2,10.77,5.14,481.38,73.07,1316.98,56.7,2.71
MFG0456,2020,Electronics,80.27333333333333,88.83,78.6,73.39,6.03,7.33,12.55,336.98,189.86,1286.39,80.89,5.16
MFG0462,2019,Electronics,68.92666666666666,81.83,66.47,58.48,9.39,18.61,7.81,437.23,211.18,900.42,56.78,3.55
MFG0215,2019,Pharmaceuticals,69.59333333333333,76.7,59.52,72.56,5.68,16.74,6.83,218.4,218.4,1128.12,81.66,3.51
MFG0252,2021,Automobile,57.18000000000001,52.13,54.9,64.51,5.56,15.43,10.08,347.81,189.08,1089.81,70.33,4.03
MFG0190,2019,Automobile,71.41,84.97,63.92,65.34,13.32,16.6,10.9,434.25,248.46,1377.16,80.31,5.29
MFG0296,2022,Electronics,73.35333333333334,91.51,63.3,65.25,7.95,18.95,10.28,418.4,161.92,567.84,68.01,2.9
MFG0213,2023,Heavy Machinery,70.55,72.12,69.33,70.2,6.79,7.27,11.02,400.9,242.53,1515.58,86.04,4.7
MFG0208,2023,Textile,71.94,72.35,87.31,56.16,5.89,14.33,12.07,424.43,288.57,1120.14,61.06,3.11
MFG0237,2023,Electronics,67.27666666666666,66.32,63.43,72.08,6.47,6.76,3.97,452.73,86.03,1000.09,80.67,3.18
MFG0338,2020,Heavy Machinery,60.45333333333334,54.05,55.34,71.97,10.12,12.42,10.41,69.23,69.23,1303.49,56.54,3.38
MFG0367,2019,Heavy Machinery,64.48,65.82,65.03,62.59,9.07,15.32,5.91,257.38,257.38,1193.0,85.31,3.29
MFG0053,2022,Pharmaceuticals,77.55,90.25,77.38,65.02,5.38,12.59,6.19,125.76,125.76,1247.62,51.14,3.19
MFG0280,2020,Pharmaceuticals,69.25333333333333,83.87,65.77,58.12,6.17,21.05,6.7,127.12,127.12,1592.54,68.3,2.02
MFG0410,2021,Automobile,64.36,63.5,73.86,55.72,3.71,12.84,4.08,247.86,247.86,662.87,66.85,3.43
MFG0217,2022,Automobile,67.25,65.64,69.53,66.58,7.66,10.92,9.97,257.13,109.68,782.81,74.95,3.17
MFG0252,2022,Textile,76.89,95.49,68.55,66.63,-2.92,14.13,4.7,436.07,250.08,1033.88,67.64,4.58
MFG0188,2022,Textile,68.45666666666666,60.78,82.29,62.3,3.15,9.86,11.22,180.83,180.83,1619.42,73.56,3.43
MFG0380,2023,Textile,59.47333333333333,64.13,59.29,55.0,7.23,10.49,14.56,317.92,184.9,1437.19,84.47,1.73
MFG0493,2022,Textile,64.85333333333334,67.27,58.63,68.66,0.44,17.75,14.69,459.74,168.65,1162.94,55.68,3.09
MFG0041,2019,Heavy Machinery,59.663333333333334,57.06,59.82,62.11,12.71,17.96,6.73,284.71,168.41,1381.59,59.77,4.05
MFG0157,2022,Heavy Machinery,65.40333333333332,66.09,71.11,59.01,4.78,14.63,6.44,495.19,243.07,1451.96,82.11,1.97
MFG0015,2023,Automobile,69.98,66.25,68.48,75.21,8.21,16.44,12.34,112.47,112.47,1355.42,59.12,1.42
MFG0301,2022,Pharmaceuticals,64.55666666666667,62.08,74.39,57.2,10.17,22.35,10.17,215.07,215.07,1525.24,86.23,4.0
MFG0065,2021,Pharmaceuticals,74.47666666666667,86.61,67.32,69.5,7.67,13.77,9.78,454.29,345.56,1252.63,71.63,4.44
MFG0345,2021,Electronics,59.46666666666666,59.16,66.24,53.0,6.99,10.53,6.08,232.28,192.33,1347.04,53.27,4.2
MFG0327,2023,Heavy Machinery,64.96999999999998,70.44,70.96,53.51,5.58,16.14,10.36,276.02,151.18,1348.78,50.83,4.52
MFG0009,2019,Textile,71.49333333333334,62.35,83.27,68.86,3.7,17.34,12.6,467.14,96.73,1076.93,80.52,2.48
MFG0344,2019,Textile,63.18,69.69,57.54,62.31,5.81,17.73,7.68,366.44,255.69,1159.81,84.25,3.76
MFG0129,2020,Electronics,59.07,61.84,59.72,55.65,7.26,18.58,11.39,135.56,135.56,1352.56,59.59,3.87
MFG0492,2023,Pharmaceuticals,71.26666666666667,72.83,68.37,72.6,6.94,17.98,10.48,361.72,236.5,907.22,59.63,4.64
MFG0136,2022,Textile,76.60000000000001,75.54,86.29,67.97,4.61,16.08,8.04,229.32,229.32,982.62,88.16,4.49
MFG0472,2023,Pharmaceuticals,64.58666666666666,87.42,58.36,47.98,9.66,16.54,9.85,250.67,216.55,1121.55,76.25,4.22
MFG0063,2020,Electronics,68.70666666666666,65.53,67.91,72.68,3.42,15.64,6.86,290.66,264.49,1216.27,56.7,2.89
MFG0139,2023,Pharmaceuticals,68.79666666666667,89.8,60.1,56.49,8.49,7.64,12.57,242.15,170.24,1194.11,67.94,1.68
MFG0499,2023,Pharmaceuticals,62.01333333333333,63.12,71.58,51.34,9.13,7.13,6.91,348.99,245.98,1194.8,86.42,1.45
MFG0081,2020,Pharmaceuticals,59.080000000000005,69.38,49.42,58.44,7.6,9.79,8.21,212.84,196.04,1240.4,74.85,4.04
MFG0392,2019,Textile,71.58333333333333,91.41,58.67,64.67,11.16,17.28,12.71,330.37,258.17,1129.77,66.3,4.34
MFG0163,2022,Automobile,83.02,103.93,79.51,65.62,8.01,12.25,8.43,375.68,219.03,995.21,56.04,2.77
MFG0419,2020,Heavy Machinery,70.18333333333334,90.55,68.08,51.92,10.45,14.54,7.19,293.37,261.55,1210.82,79.04,4.17
MFG0289,2021,Pharmaceuticals,61.51000000000001,69.54,61.29,53.7,0.33,20.25,10.55,306.92,147.06,1391.63,61.05,4.02
MFG0379,2019,Pharmaceuticals,68.05333333333333,77.66,67.59,58.91,9.34,18.33,15.39,309.04,307.19,1458.17,72.64,2.42
MFG0261,2021,Pharmaceuticals,68.78666666666668,79.51,67.43,59.42,8.46,5.31,13.49,312.87,297.79,602.83,74.01,4.63
MFG0490,2019,Automobile,73.31333333333333,75.8,73.05,71.09,8.34,16.92,11.83,289.68,196.09,902.54,72.22,3.82
MFG0231,2022,Electronics,57.306666666666665,60.91,49.32,61.69,8.54,14.22,12.98,284.87,174.88,1483.11,59.86,1.48
MFG0041,2022,Textile,68.06333333333333,74.58,58.67,70.94,5.8,11.38,11.55,287.81,118.93,1116.13,78.33,3.04
MFG0028,2023,Automobile,66.54,66.44,59.41,73.77,8.9,12.69,10.69,318.61,126.82,649.49,72.64,4.5
MFG0135,2021,Pharmaceuticals,68.15333333333332,61.35,73.66,69.45,11.45,12.75,12.74,256.76,188.66,1566.51,66.15,2.74
MFG0201,2019,Automobile,58.97333333333333,68.57,67.94,40.41,2.31,8.75,11.04,285.35,232.32,1501.79,52.09,4.54
MFG0328,2022,Automobile,73.00333333333333,75.47,80.97,62.57,9.97,14.98,9.84,399.17,236.11,845.15,63.25,4.71
MFG0268,2020,Automobile,74.05,83.02,75.46,63.67,6.68,22.71,10.56,500.67,359.43,848.27,64.1,2.73
MFG0418,2022,Electronics,66.22,69.21,64.89,64.56,5.35,18.06,11.0,546.11,179.05,2094.66,81.65,2.45
MFG0033,2020,Heavy Machinery,62.343333333333334,71.14,67.55,48.34,3.97,5.9,10.92,313.38,171.11,924.88,70.54,4.14
MFG0048,2019,Textile,73.12333333333333,80.84,79.64,58.89,7.95,15.17,11.09,196.89,196.89,1565.03,87.28,4.0
MFG0407,2022,Electronics,69.26,72.78,80.9,54.1,10.96,15.16,7.04,275.65,146.72,1663.34,80.03,4.07
MFG0062,2022,Electronics,66.97666666666667,76.2,67.14,57.59,6.03,10.02,9.38,314.58,314.58,764.38,71.52,3.36
MFG0216,2019,Heavy Machinery,64.97333333333334,72.86,59.13,62.93,8.67,9.16,6.2,408.22,363.42,926.59,56.76,4.93
MFG0293,2022,Electronics,60.796666666666674,74.23,49.09,59.07,6.97,17.59,10.79,228.25,228.25,1509.45,58.84,4.4
MFG0099,2020,Automobile,55.800000000000004,60.13,49.09,58.18,2.89,14.42,11.03,287.6,287.6,791.21,56.4,3.06
MFG0172,2022,Automobile,69.67333333333333,73.35,72.25,63.42,6.55,12.09,13.95,198.91,198.91,878.62,67.71,4.2
MFG0360,2021,Pharmaceuticals,73.61333333333333,87.71,72.07,61.06,5.34,16.41,10.9,466.63,273.83,1141.24,78.9,3.64
MFG0214,2023,Electronics,67.46,73.86,61.92,66.6,4.47,22.47,8.89,354.27,319.87,1162.45,80.37,2.05
MFG0475,2020,Pharmaceuticals,68.06,62.83,79.71,61.64,5.92,15.03,8.74,264.52,194.28,1527.2,53.85,1.99
MFG0035,2021,Textile,68.94666666666667,88.24,66.14,52.46,6.2,15.17,11.94,306.41,306.41,1368.9,69.84,3.47
MFG0449,2019,Automobile,66.46333333333332,79.94,62.7,56.75,9.52,13.91,7.96,165.01,165.01,1261.97,69.26,2.93
MFG0227,2020,Textile,73.78666666666668,80.44,78.54,62.38,7.06,12.43,10.46,345.47,212.14,1155.82,67.56,2.46
MFG0101,2023,Heavy Machinery,72.97333333333334,80.15,77.35,61.42,3.49,17.28,12.86,338.52,149.82,884.81,62.05,3.09
MFG0431,2023,Automobile,60.28,59.61,67.54,53.69,10.02,13.23,16.07,122.87,122.87,1564.88,69.03,4.06
MFG0462,2019,Textile,74.06666666666666,79.13,72.66,70.41,7.96,16.0,13.47,227.06,227.06,1241.74,70.66,3.8
MFG0131,2019,Heavy Machinery,76.17333333333333,87.23,73.79,67.5,7.7,20.0,8.42,270.11,39.21,1396.68,73.99,3.49
MFG0257,2020,Textile,71.49666666666667,66.72,87.58,60.19,9.18,16.98,7.76,271.09,247.46,1266.37,65.09,1.87
MFG0005,2022,Heavy Machinery,60.43333333333333,50.79,66.82,63.69,6.95,8.91,11.89,249.34,249.34,1233.75,87.8,1.64
MFG0218,2019,Heavy Machinery,63.27666666666667,76.02,57.38,56.43,5.66,8.67,9.36,312.74,229.54,1231.2,63.55,4.83
MFG0255,2022,Automobile,72.60333333333334,72.36,73.63,71.82,7.87,19.01,5.56,439.43,62.6,1201.23,85.8,3.43
MFG0398,2021,Pharmaceuticals,68.36333333333333,54.98,68.56,81.55,8.56,13.55,17.78,347.89,111.28,1157.57,82.05,4.31
MFG0359,2023,Heavy Machinery,69.17,78.66,69.01,59.84,7.95,15.04,10.52,417.82,213.6,1020.3,68.61,3.63
MFG0283,2022,Heavy Machinery,73.44666666666667,77.83,67.72,74.79,9.03,10.83,13.75,336.44,86.14,1359.5,69.85,2.75
MFG0393,2023,Automobile,55.88666666666666,55.87,53.68,58.11,7.25,16.46,9.0,268.09,268.09,1537.31,84.79,3.1
MFG0207,2022,Pharmaceuticals,74.62333333333333,92.78,70.35,60.74,4.51,21.55,9.91,282.28,282.28,1272.17,69.71,4.66
MFG0015,2021,Electronics,73.83333333333333,80.26,64.77,76.47,5.43,14.61,10.45,380.28,137.07,1681.44,77.18,4.09
MFG0346,2019,Electronics,60.15666666666667,51.21,65.22,64.04,10.43,16.59,9.18,354.06,289.87,1061.97,82.37,2.73
MFG0042,2021,Pharmaceuticals,71.97666666666667,81.01,64.42,70.5,7.08,18.98,7.72,433.32,273.6,1844.06,86.32,4.4
MFG0380,2019,Textile,70.39333333333333,80.69,67.65,62.84,4.18,20.72,16.59,300.7,191.0,1332.92,58.73,2.74
MFG0461,2019,Automobile,69.49666666666667,87.57,70.34,50.58,3.95,11.28,11.06,160.46,160.46,368.39,89.01,3.9
MFG0179,2023,Pharmaceuticals,72.19333333333333,65.14,67.74,83.7,3.65,15.65,5.27,280.52,53.08,1773.65,88.61,1.86
MFG0063,2021,Electronics,74.27666666666667,81.17,78.39,63.27,9.06,19.1,10.31,150.75,150.75,914.54,61.89,3.31
MFG0352,2022,Heavy Machinery,70.15333333333334,69.4,74.81,66.25,7.77,20.22,5.68,286.55,178.19,1262.73,74.55,3.75
MFG0231,2021,Electronics,64.12,65.88,67.34,59.14,11.61,12.31,7.46,182.63,182.63,1353.33,51.88,2.93
MFG0241,2023,Heavy Machinery,64.13333333333333,62.48,58.68,71.24,8.44,11.32,10.32,290.69,143.17,1220.77,56.71,4.27
MFG0052,2019,Automobile,64.98,51.07,73.22,70.65,8.59,13.38,11.62,314.74,274.83,1166.12,73.35,2.3
MFG0096,2023,Heavy Machinery,65.21666666666667,77.94,65.17,52.54,11.97,12.72,2.43,287.9,165.0,1007.62,76.0,4.25
MFG0388,2020,Pharmaceuticals,67.27666666666666,69.0,66.46,66.37,4.58,12.89,15.15,272.45,272.45,1046.14,71.38,3.83
MFG0222,2020,Heavy Machinery,56.70666666666667,41.97,56.13,72.02,3.25,15.65,8.02,261.61,185.47,1556.55,78.19,2.73
MFG0485,2022,Textile,73.05,72.83,71.72,74.6,8.38,11.84,9.33,413.36,122.85,894.94,81.72,1.86
MFG0407,2023,Pharmaceuticals,82.08333333333333,84.74,91.34,70.17,6.39,20.24,14.6,328.2,217.6,1216.08,56.74,5.08
MFG0231,2022,Automobile,63.97666666666667,57.62,63.44,70.87,7.74,12.38,15.13,147.95,147.95,1412.96,76.38,3.47
MFG0237,2022,Pharmaceuticals,66.14666666666666,64.16,73.6,60.68,10.06,11.6,8.14,313.29,261.82,883.65,72.5,2.95
MFG0143,2020,Textile,70.41000000000001,76.85,79.21,55.17,8.9,9.32,13.19,451.77,100.57,1340.15,54.7,3.11
MFG0171,2022,Automobile,56.550000000000004,43.85,63.29,62.51,10.79,19.03,10.48,253.85,92.15,1514.44,59.14,2.52
